file,brightness,method,blur,contrast,quality_status,quality_reason,angle,qr_found,qr_data,decode_method,qr_status,qr_reason,latency_ms,final_result,final_reason
blurredimage001.jpg,114.17,CLAHE,116.29,246.0,PASS,QUALITY_OK,5.68,True,"{""lastNode"":""OAK5"",""cids"":{""pkey"":""171227103636638907587520201AZ""}}",GRAY_PYZBAR,PASS,QR_DETECTED,277.84,PASS,QR_DETECTED
blurredimage002.jpg,139.34,CLAHE,1241.95,249.0,PASS,QUALITY_OK,22.42,True,http://www.lonelyplanet.com/,RETINEX_PYZBAR,PASS,QR_DETECTED,581.67,PASS,QR_DETECTED
blurredimage005.jpg,150.18,CLAHE,133.57,255.0,PASS,QUALITY_OK,85.22,True,ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789,SHARPENED_PYZBAR,PASS,QR_DETECTED,1501.71,PASS,QR_DETECTED
blurredimage017.jpg,36.33,RETINEX,154.68,255.0,PASS,QUALITY_OK,2.08,True,Version 2 QR Code Test Image,GRAY_PYZBAR,PASS,QR_DETECTED,660.23,PASS,QR_DETECTED
blurredimage018.jpg,35.92,RETINEX,144.73,255.0,PASS,QUALITY_OK,,False,,FAILED_ALL,NO_QR,QR_NOT_DETECTED,9543.58,REJECT,QR_NOT_DETECTED
blurredimage019.jpg,35.89,RETINEX,128.19,255.0,PASS,QUALITY_OK,,False,,FAILED_ALL,NO_QR,QR_NOT_DETECTED,9312.43,REJECT,QR_NOT_DETECTED
blurredimage027.jpg,72.14,RETINEX,62.89,255.0,PASS,QUALITY_OK,29.94,True,http://www.boschautoparts.com/qr/icon.aspx,CLAHE_UP3_PYZBAR,PASS,QR_DETECTED,3088.69,PASS,QR_DETECTED
blurredimage032.jpg,143.5,CLAHE,157.41,249.0,PASS,QUALITY_OK,83.35,True,http://www.bestekmall.com/,GRAY_PYZBAR,PASS,QR_DETECTED,595.86,PASS,QR_DETECTED
blurredimage033.jpg,144.75,CLAHE,145.27,247.0,PASS,QUALITY_OK,83.31,True,http://www.bestekmall.com/,GRAY_PYZBAR,PASS,QR_DETECTED,755.56,PASS,QR_DETECTED
blurredimage034.jpg,179.25,CLAHE,108.29,244.0,PASS,QUALITY_OK,27.33,True,"{""lastNode"":""OAK5"",""cids"":{""pkey"":""180410194824527404022960201AZ""}}",GRAY_PYZBAR,PASS,QR_DETECTED,764.28,PASS,QR_DETECTED
blurredimage037.jpg,116.96,CLAHE,216.78,248.0,PASS,QUALITY_OK,,False,,FAILED_ALL,NO_QR,QR_NOT_DETECTED,4619.42,REJECT,QR_NOT_DETECTED
blurredimage041.jpg,72.45,RETINEX,61.62,255.0,PASS,QUALITY_OK,65.28,True,GH69-28945C,DENOISED_PYZBAR,PASS,QR_DETECTED,736.69,PASS,QR_DETECTED
brightnessimage003.jpg,51.62,RETINEX,411.38,255.0,PASS,QUALITY_OK,86.63,True,ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789,GRAY_PYZBAR,PASS,QR_DETECTED,638.66,PASS,QR_DETECTED
brightnessimage004.jpg,34.2,RETINEX,431.76,255.0,PASS,QUALITY_OK,3.23,True,Version 2 QR Code Test Image,GRAY_PYZBAR,PASS,QR_DETECTED,616.0,PASS,QR_DETECTED
brightnessimage006.jpg,13.77,RETINEX,447.61,255.0,PASS,QUALITY_OK,3.23,True,Version 2 QR Code Test Image,GRAY_PYZBAR,PASS,QR_DETECTED,590.59,PASS,QR_DETECTED
brightnessimage007.jpg,9.44,RETINEX,504.33,255.0,PASS,QUALITY_OK,85.88,True,ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789,GRAY_PYZBAR,PASS,QR_DETECTED,621.58,PASS,QR_DETECTED
brightnessimage008.jpg,9.68,RETINEX,487.48,255.0,PASS,QUALITY_OK,85.93,True,ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789,GRAY_PYZBAR,PASS,QR_DETECTED,633.35,PASS,QR_DETECTED
brightnessimage010.jpg,5.3,RETINEX,680.98,255.0,PASS,QUALITY_OK,90.0,True,Version 1 QR,ENHANCED_PYZBAR,PASS,QR_DETECTED,814.23,PASS,QR_DETECTED
brightnessimage016.jpg,18.85,RETINEX,519.27,255.0,PASS,QUALITY_OK,,False,,FAILED_ALL,NO_QR,QR_NOT_DETECTED,13325.24,REJECT,QR_NOT_DETECTED
brightnessimage017.jpg,19.72,RETINEX,502.79,254.0,PASS,QUALITY_OK,,False,,FAILED_ALL,NO_QR,QR_NOT_DETECTED,12079.64,REJECT,QR_NOT_DETECTED
brightnessimage018.jpg,35.14,RETINEX,403.76,255.0,PASS,QUALITY_OK,,False,,FAILED_ALL,NO_QR,QR_NOT_DETECTED,12030.76,REJECT,QR_NOT_DETECTED
brightnessimage019.jpg,27.64,RETINEX,405.37,254.0,PASS,QUALITY_OK,,False,,FAILED_ALL,NO_QR,QR_NOT_DETECTED,11548.87,REJECT,QR_NOT_DETECTED
brightnessimage021.jpg,19.57,RETINEX,478.28,255.0,PASS,QUALITY_OK,,False,,FAILED_ALL,NO_QR,QR_NOT_DETECTED,13155.29,REJECT,QR_NOT_DETECTED
brightnessimage028.jpg,9.44,RETINEX,175.26,255.0,PASS,QUALITY_OK,2.95,True,Version 2 QR Code Test Image,GRAY_PYZBAR,PASS,QR_DETECTED,355.77,PASS,QR_DETECTED
closeimage005.jpg,153.27,CLAHE,1483.57,255.0,PASS,QUALITY_OK,,True,ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789 ABC 123456789,GRAY_OPENCV_QR,PASS,QR_DETECTED,663.62,PASS,QR_DETECTED
closeimage013.jpg,128.85,CLAHE,686.83,239.0,PASS,QUALITY_OK,2.09,True,VERSION 2 8CM,GRAY_PYZBAR,PASS,QR_DETECTED,577.21,PASS,QR_DETECTED
closeimage016.jpg,137.72,CLAHE,1377.66,245.0,PASS,QUALITY_OK,,True,VERSION 2 8CM,GRAY_OPENCV_QR,PASS,QR_DETECTED,662.59,PASS,QR_DETECTED
closeimage025.jpg,136.85,CLAHE,10282.68,253.0,PASS,QUALITY_OK,,True,VERSION 1 6CM,GRAY_UP2_OPENCV_QR,PASS,QR_DETECTED,193.72,PASS,QR_DETECTED
